,ISO_1,LangName_1,ISO_2,LangName_2,Similarity,Robustness
1988,asm,Assamese,swe,Swedish,0.724,High
1990,asm,Assamese,tam,Tamil,2.131,High
1992,asm,Assamese,tel,Telugu,5.136,High
1994,asm,Assamese,tgk,Tajik,1.224,Medium
1995,asm,Assamese,tgl,Tagalog,0.867,Medium
1996,asm,Assamese,tha,Thai,0.469,High
2001,asm,Assamese,tur,Turkish,0.969,High
2006,asm,Assamese,ukr,Ukrainian,0.65,High
2007,asm,Assamese,urd,Urdu,3.918,High
2011,asm,Assamese,vie,Vietnamese,0.362,High
2021,asm,Assamese,yor,Yoruba,0.041,Medium
2022,asm,Assamese,zsm,Standard Malay,0.842,High
2023,asm,Assamese,zul,Zulu,0.346,High
3150,bel,Belarusian,ben,Bengali,0.66,High
3156,bel,Belarusian,bul,Bulgarian,6.222,High
3158,bel,Belarusian,cat,Catalan,1.978,High
3160,bel,Belarusian,ceb,Cebuano,1.181,Medium
3161,bel,Belarusian,ces,Czech,6.448,High
3168,bel,Belarusian,ckb,Central Kurdish,0.172,Medium
3169,bel,Belarusian,cmn,Mandarin Chinese,0.086,High
3175,bel,Belarusian,cym,Welsh,1.804,Medium
3176,bel,Belarusian,dan,Danish,2.744,High
3177,bel,Belarusian,deu,German,2.613,High
3181,bel,Belarusian,ell,Modern Greek,1.027,High
3182,bel,Belarusian,eng,English,1.658,High
3185,bel,Belarusian,eus,Basque,1.616,High
3192,bel,Belarusian,fin,Finnish,1.266,High
3193,bel,Belarusian,fra,French,2.052,High
3200,bel,Belarusian,gle,Irish,1.689,Medium
3201,bel,Belarusian,glg,Galician,1.967,High
3205,bel,Belarusian,guj,Gujarati,0.994,High
3209,bel,Belarusian,heb,Hebrew,0.405,High
3211,bel,Belarusian,hin,Hindi,1.164,High
3212,bel,Belarusian,hrv,Croatian,4.927,High
3214,bel,Belarusian,hun,Hungarian,2.453,Medium
3215,bel,Belarusian,hye,Armenian,1.667,Medium
3218,bel,Belarusian,ind,Indonesian,0.9,High
3219,bel,Belarusian,isl,Icelandic,1.417,High
3220,bel,Belarusian,ita,Italian,2.379,High
3223,bel,Belarusian,jav,Javanese,0.734,Low
3224,bel,Belarusian,jpn,Japanese,0.956,High
3226,bel,Belarusian,kan,Kannada,0.465,High
3228,bel,Belarusian,kat,Georgian,2.284,Medium
3229,bel,Belarusian,kaz,Kazakh,3.766,Medium
3231,bel,Belarusian,khm,Khmer,0.528,Medium
3233,bel,Belarusian,kir,Kirghiz,3.242,Medium
3238,bel,Belarusian,kor,Korean,0.467,High
